NOMBRE,GRAD_Y,GRAD_X
TF-1,28.442552,-16.278080
TF-2,28.438528,-16.300924
TF-4,28.453749,-16.257489
TF-5,28.453165,-16.273402
TF-272,28.4515554,-16.3739722
TF-293,28.4257758,-16.3103569
TF-28,28.453273,-16.278038
TF-29,28.447481,-16.277310
TF-113,28.518459,-16.295337
TF-114,28.534820,-16.267996
TF-111,28.486351,-16.280234
TF-13,28.476848,-16.306993
TF-263,28.477653,-16.318302
TF-24,28.476606,-16.321575
TF-12,28.523563,-16.293372
TF-121,28.512733,-16.182793
TF-123,28.5695648,-16.1612632
TF-136,28.554318,-16.244570
TF-134,28.5583313,-16.207933
TF-141,28.5184505,-16.3169661
TF-161,28.5358693,-16.381188
TF-152,28.4870431,-16.3911785
TF-235,28.490455,-16.3620987
