FID,NOMBRE,TIPO,GEOCODIGO,DIRECCION,UTM_X,UTM_Y,GRAD_X,GRAD_Y
0.0,POLICIA LOCAL,Sedes municipales,CON_007,AVENIDA TRES DE MAYO 79,376649.793384,3148565.39578,-16.2598559929,28.4578197654
1.0,POLICIA LOCAL (AÑAZA),Sedes municipales,CON_012,AVENIDA PRINCIPAL AÑAZA 2,372398.07862,3144710.66868,-16.3028461239,28.4226242498
2.0,ACADEMIA DE POLICIA LOCAL,Sedes municipales,CON_020,AVENIDA VEINTICINCO DE JULIO 9,377022.695638,3149872.14894,-16.256187511,28.4696477818
3.0,PARQUE DE BOMBEROS,Sedes municipales,CON_034,CALLE TOME CANO 9,376502.22748,3148639.66906,-16.2613708379,28.4584760803
4.0,UNIDAD DE INTERVENCION POLICIAL (UNIPOL),Sedes municipales,CON_014,CARRETERA LOS CAMPITOS S/N,376430.418752,3150697.82407,-16.262324879,28.4770430591
5.0,POLICIA NACIONAL (ROBAYNA),Otras instalaciones,OTR_006,CALLE ROBAYNA 23,376976.144667,3149842.45601,-16.2566597546,28.4693754259
6.0,POLICIA NACIONAL (RAMON PEREZ DE AYALA),Otras instalaciones,OTR_016,CALLE RAMON PEREZ DE AYALA 6,375771.690885,3149146.46231,-16.2688854595,28.4629802414
7.0,PROTECCION CIVIL,Sedes municipales,CON_016,AVENIDA TRES DE MAYO 85,376526.155866,3148562.82812,-16.2611182574,28.457784895
8.0,CUARTEL DE LA POLICIA NACIONAL (TRES DE MAYO),Otras instalaciones,OTR_038,AVENIDA TRES DE MAYO 32,376751.115078,3148693.45305,-16.2588350265,28.4589849972
9.0,POLICIA LOCAL (EL PERU),Sedes municipales,CON_040,CALLE FRANCISCO DE AGUILAR Y AGUILAR 10,375167.876441,3149378.38185,-16.2750767794,28.4650155228
10.0,DEPOSITO DE VEHICULOS (POLICÍA LOCAL),Sedes municipales,CON_060,AVENIDA LA CONSTITUCION S/N,377488.577552,3148547.89322,-16.2512887662,28.4577408696
11.0,CASA FORESTAL,Sedes Municipales,CON_062,CARRETERA EL BAILADERO S/N,379785.561132,3157851.14258,-16.2288049988,28.5419122837
